Dataset number, Accuracy,
0, 0.8333333333333334,
1, 0.8531746031746031,
2, 0.8253968253968254,
3, 0.8412698412698413,
4, 0.8690476190476191,
5, 0.8690476190476191,
6, 0.8888888888888888,
7, 0.8452380952380952,
8, 0.8611111111111112,
9, 0.876984126984127,
10, 0.8690476190476191,
11, 0.8650793650793651,
12, 0.8531746031746031,
13, 0.8888888888888888,
14, 0.8293650793650794,
15, 0.8452380952380952,
16, 0.8650793650793651,
17, 0.9007936507936508,
18, 0.8571428571428571,
19, 0.8650793650793651,
20, 0.8293650793650794,
21, 0.8373015873015873,
22, 0.9007936507936508,
23, 0.8531746031746031,
24, 0.8253968253968254,
25, 0.876984126984127,
26, 0.8888888888888888,
27, 0.8412698412698413,
28, 0.8015873015873016,
29, 0.8611111111111112,
30, 0.8571428571428571,
31, 0.8174603174603174,
32, 0.8174603174603174,
33, 0.8373015873015873,
34, 0.8849206349206349,
35, 0.8452380952380952,
36, 0.8253968253968254,
37, 0.8571428571428571,
38, 0.8452380952380952,
39, 0.8412698412698413,
40, 0.8055555555555556,
41, 0.8571428571428571,
42, 0.8809523809523809,
43, 0.8333333333333334,
44, 0.8849206349206349,
45, 0.8492063492063492,
46, 0.8611111111111112,
47, 0.876984126984127,
48, 0.8849206349206349,
49, 0.8531746031746031,
