playerID,B_G,B_AB,B_R,B_H,B_2B,B_3B,B_HR,B_RBI,B_SB,B_CS,B_BB,B_SO,B_IBB,B_HBP,B_SH,B_SF,B_GIDP,P_playerID,P_W,P_L,P_G,P_GS,P_CG,P_SHO,P_SV,P_IPOuts,P_H,P_ER,P_HR,P_BB,P_SO,P_BAOpp,P_ERA,P_IBB,P_WP,P_HBP,P_BK,P_BFP,P_GF,P_R,P_SH,P_SF,P_GIDP,f_playerID,f_G,f_PO,f_A,f_E,f_DP,f_PB,f_WP,f_SB,f_CS,f_ZR,award_count,nomination_count,Classification
allisdo01,318.0,1407.0,236.0,381.0,43.0,10.0,2.0,140.0,5.0,2.0,22,40.0,0.0,0.0,0.0,0.0,0.0,allisdo01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,11.0,1.0,0,1.0,0.0,0.44,1.7999999523162842,0.0,0.0,0.0,0.0,26.0,1.0,5.0,0.0,0.0,0.0,allisdo01,344.0,1317.0,270.0,238.0,24.0,52.0,0.0,0.0,0.0,0.0,,1.0,0
ansonca01,2523.0,10277.0,1996.0,3418.0,581.0,142.0,97.0,2076.0,276.0,16.0,983,302.0,0.0,32.0,27.0,0.0,0.0,ansonca01,0.0,1.0,3.0,0.0,0.0,0.0,1.0,12,4.0,2.0,2,2.0,1.0,0.22999999999999998,9.0,0.0,0.0,0.0,0.0,21.0,3.0,5.0,0.0,0.0,0.0,ansonca01,2592.0,22568.0,1612.0,975.0,1281.0,63.0,0.0,0.0,0.0,0.0,,2.0,1
altroni01,230.0,550.0,52.0,97.0,9.0,1.0,2.0,27.0,5.0,1.0,29,0.0,0.0,11.0,15.0,0.0,0.0,altroni01,83.0,75.0,218.0,161.0,128.0,16.0,7.0,4542,1455.0,445.0,17,272.0,425.0,0.3611111111111111,4.182222214010027,0.0,31.0,22.0,1.0,3433.0,46.0,604.0,0.0,0.0,0.0,altroni01,227.0,181.0,610.0,31.0,23.0,0.0,0.0,0.0,0.0,0.0,,8.0,0
archeji01,847.0,2646.0,246.0,660.0,106.0,34.0,16.0,296.0,36.0,6.0,124,241.0,0.0,19.0,93.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,archeji01,804.0,3861.0,1012.0,142.0,112.0,70.0,0.0,0.0,0.0,0.0,9.0,3.0,0
adamsba01,482.0,1019.0,79.0,216.0,31.0,15.0,3.0,75.0,1.0,1.0,53,177.0,0.0,1.0,35.0,0.0,0.0,adamsba01,194.0,140.0,482.0,355.0,206.0,44.0,15.0,8986,2841.0,917.0,68,430.0,1036.0,0.2710526315789473,3.7336842009895728,0.0,26.0,47.0,2.0,11947.0,89.0,1129.0,0.0,0.0,0.0,adamsba01,482.0,58.0,648.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0
bakerfr01,1575.0,5984.0,887.0,1838.0,315.0,103.0,96.0,987.0,235.0,28.0,473,182.0,0.0,50.0,153.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bakerfr01,1548.0,2154.0,3155.0,322.0,259.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,1
austiji01,1580.0,5388.0,661.0,1328.0,174.0,76.0,13.0,390.0,244.0,43.0,592,363.0,0.0,44.0,278.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,austiji01,1541.0,2260.0,3239.0,395.0,256.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
alexape01,703.0,1810.0,154.0,378.0,60.0,13.0,11.0,163.0,3.0,5.0,77,276.0,0.0,2.0,88.0,0.0,0.0,alexape01,373.0,208.0,696.0,599.0,437.0,90.0,32.0,15570,4868.0,1476.0,164,951.0,2198.0,0.2538095238095238,2.9723809900737943,0.0,39.0,70.0,1.0,20928.0,80.0,1851.0,0.0,0.0,0.0,alexape01,697.0,189.0,1419.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,1
adamssp01,1424.0,5557.0,844.0,1588.0,249.0,48.0,9.0,394.0,154.0,50.0,453,223.0,0.0,28.0,136.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,adamssp01,1384.0,2287.0,3748.0,230.0,597.0,0.0,0.0,0.0,0.0,0.0,,2.0,0
averiea01,1668.0,6353.0,1224.0,2019.0,401.0,128.0,238.0,1164.0,70.0,57.0,774,518.0,0.0,33.0,55.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,averiea01,1589.0,3969.0,115.0,126.0,29.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,1
